Node,Rank
Bangia sp.,species
Bangia sp. strain BCP1026,species
Bangia sp. strain BDS725,species
Bangia sp. strain BFM675,species
Bangia sp. strain BWP662,species
Bangia sp. strain BOH1020,species
Bangia sp. BVE1286,species
Bangia sp. SCL-2008-1,species
Bangia sp. fjpt,species
Bangia sp. gdst,species
Bangia sp. jsls,species
Bangia sp. sddy,species
Bangia sp. sxyq,species
Bangia sp. BHH673,species
Bangia sp. Wellington Harbour/C8,species
Bangia sp. Wellington Harbour/BRMg,species
Bangia sp. Wellington Harbour/BHH1,species
Bangia sp. CH620,species
Bangia sp. 1BAN,species
Bangia sp. 2BAN,species
Bangia sp. BCH,species
Bangia sp. BFK,species
Bangia sp. BGA,species
Bangia sp. BJB,species
Bangia sp. BMW,species
Bangia sp. BNS,species
Bangia sp. BPL,species
Bangia sp. BRM,species
Bangia sp. SAS13020,species
Bangia sp. ESS1,species
Bangia sp. ESS2,species
Bangia sp. 1LH,species
Pseudobangia,genus
Pseudobangia kaycoleia,species
unclassified Pseudobangia,no rank
Pseudobangia sp. ARS-2011,species
Dione,genus
Dione arcuata,species
unclassified Dione (in: red algae),no rank
Dione sp. (in: red algae),species
Minerva,genus
Minerva aenigmata,species
Wildemania,genus
Wildemania miniata,species
Wildemania amplissima,species
Wildemania occidentalis,species
Wildemania variegata,species
Wildemania abyssicola,species
Wildemania norrisii,species
Wildemania schizophylla,species
unclassified Wildemania,no rank
Wildemania sp. HM080,species
Wildemania sp. 5POR,species
Wildemania sp. Antar23,species
Wildemania sp. FII,species
Wildemania sp. 1 MLG-2017,species
Wildemania sp. 1 MLG-2018,species
Pyropia,genus
Pyropia spiralis,species
Pyropia spiralis var. amplifolia,varietas
Pyropia spiralis var. spiralis,varietas
Pyropia acanthophora,species
Pyropia acanthophora var. brasiliensis,varietas
Pyropia leucosticta,species
Pyropia leucosticta A,strain
Pyropia pulchra,species
Pyropia onoi,species
Pyropia pseudolinearis,species
Pyropia fallax,species
Pyropia fallax subsp. fallax,subspecies
Pyropia kanakaensis,species
Pyropia torta,species
Pyropia brumalis,species
Pyropia kurogii,species
Pyropia cinnamomea,species
Pyropia gardneri,species
Pyropia abbottiae,species
Pyropia kinositae,species
Pyropia pulchella,species
Pyropia ishigecola,species
Pyropia lacerata,species
Pyropia kuniedae,species
Pyropia vietnamensis,species
Pyropia columbina,species
Pyropia aeodis,species
Pyropia elongata,species
Pyropia plicata,species
Pyropia thuretii,species
Pyropia njordii,species
Pyropia peggicovensis,species
Pyropia denticulata,species
Pyropia californica,species
Pyropia francisii,species
Pyropia cf. crassa,species
Pyropia cf. thuretii,species
Pyropia thulaea,species
Pyropia suborbiculata,species
Pyropia pseudolanceolata,species
Pyropia koreana,species
Pyropia cf. yezoensis 2 KN-2013,species
Pyropia cf. yezoensis 3 KN-2013,species
Pyropia parva,species
Pyropia orbicularis,species
Pyropia collinsii,species
Pyropia lanceolata,species
Pyropia conwayae,species
Pyropia hiberna,species
Pyropia cf. lanceolata SCL-2015,species
Pyropia montereyensis,species
Pyropia columbiensis,species
Pyropia protolanceolata,species
Pyropia bajacaliforniensis,species
Pyropia nitida,species
Pyropia nereocystis,species
Pyropia endiviifolia,species
Pyropia kanyakumariensis,species
Pyropia taeniata,species
Pyropia unabbottiae,species
Pyropia saldanhae,species
unclassified Pyropia,no rank
Pyropia sp. ROS204,species
Pyropia sp. PTW1017,species
Pyropia sp. AKL170,species
Pyropia sp. RIB167,species
Pyropia sp. SSR091,species
Pyropia sp. TCH243,species
Pyropia sp. TDC1732,species
Pyropia sp. 1POR,species
Pyropia sp. 2Cal,species
Pyropia sp. 6POR,species
Pyropia sp. DRB,species
Pyropia sp. FAL,species
Pyropia sp. MIG,species
Pyropia sp. ROS125,species
Pyropia sp. SMR,species
Pyropia sp. STI,species
Pyropia sp. WRO,species
Pyropia sp. Piaui,species
Pyropia sp. Antar68,species
Pyropia sp. DK,species
Pyropia sp. GCI,species
Pyropia sp. AGC-2012,species
Pyropia sp. NRIFS-1,species
Pyropia sp. NRIFS-2,species
Pyropia sp. DC-2014,species
Pyropia sp. LLG-2014,species
Pyropia sp. AMM324_1,species
Pyropia sp. AMM-2015b,species
Pyropia sp. ARC-P-207,species
Pyropia sp. CHG,species
Pyropia sp. CHH,species
Pyropia sp. CHI,species
Pyropia sp. CHJ,species
Pyropia sp. CHK,species
Pyropia sp. FIA,species
Pyropia sp. FID,species
Pyropia sp.,species
Pyropia sp. 1 MLG-2017,species
Pyropia sp. 3 RVD-2017,species
Pyropia sp. 4 RVD-2017,species
Pyropia sp. 2 LEY-2017,species
Pyropia sp. 5 LEY-2017,species
Pyropia sp. 4 LEY-2017,species
Pyropia sp. 3 LEY-2018,species
Pyropia sp. 1 LEY-2018,species
Pyropia sp. 1 MLG-2018,species
Pyropia sp. _1TDC1732,species
Pyropia sp. HM00019,species
Pyropia sp. 1 MCa-2020a,species
Pyropia sp. 2 MCa-2020a,species
Pyropia moriensis,species
Pyropia retorta,species
Pyropia ulleungensis,species
Pyropia vittata,species
Pyropia submarina,species
Pyropia stamfordensis,species
Lysithea,genus
Lysithea adamsiae,species
Clymene,genus
Clymene coleana,species
unclassified Clymene,no rank
Clymene sp. TTS,species
Boreophyllum,genus
Boreophyllum aestivale,species
Boreophyllum birdiae,species
Boreophyllum pseudocrassum,species
Boreophyllum aleuticum,species
Boreophyllum ambiguum,species
Fuscifolium,genus
Fuscifolium papenfussii,species
Fuscifolium tasa,species
unclassified Fuscifolium,no rank
Fuscifolium sp. CHA,species
unclassified Bangiaceae,no rank
Bangiaceae sp. 3-1,species
Bangiaceae sp. 2-1,species
environmental samples,no rank
uncultured Bangiaceae,species
Neothemis,genus
Neothemis ballesterosii,species
Neothemis iberica,species
Neoporphyra,genus
Neoporphyra dentata,species
Neoporphyra seriata,species
Neoporphyra perforata,species
Neoporphyra hollenbergii,species
Neoporphyra pendula,species
Neoporphyra raulaguilarii,species
Neoporphyra haitanensis,species
Neoporphyra meridionalis,species
unclassified Neoporphyra,no rank
Neoporphyra sp. C4,species
Neoporphyra kitoi,species
Phycocalidia,genus
Phycocalidia tanegashimensis,species
Phycocalidia pseudolobata,species
unclassified Phycocalidia,no rank
Phycocalidia sp. C17,species
Neopyropia,genus
Neopyropia tenera,species
Neopyropia tenera var. tamatsuensis,varietas
Neopyropia tenera var. tenera,varietas
Neopyropia yezoensis,species
Neopyropia yezoensis f. narawaensis,forma
Neopyropia yezoensis f. yezoensis,forma
Neopyropia katadae,species
Neopyropia katadae var. hemiphylla,varietas
Neopyropia fucicola,species
Neopyropia yezoensis x Neopyropia tenera,species
Kuwaitiella,genus
Kuwaitiella rubra,species
unclassified Bangiales,no rank
Bangiales sp. BOLD:AAA4620,species
Bangiales sp. BOLD:AAA7966,species
Bangiales sp. BOLD:AAA8191,species
Bangiales sp. BOLD:AAA8490,species
Bangiales sp. BOLD:AAB1425,species
Bangiales sp. BOLD:AAB9517,species
Bangiales sp. BOLD:AAC0648,species
Bangiales sp. BOLD:AAD1563,species
Bangiales sp. BOLD:AAE3662,species
Bangiales sp. BOLD:AAC2891,species
Bangiales sp. BOLD:AAD4284,species
Bangiales sp. BOLD:AAM4235,species
Bangiales sp. BOLD:AAM9830,species
Bangiales sp. BOLD:AAO5045,species
Bangiales sp. BOLD:AAO5085,species
Bangiales sp. BOLD:AAO5473,species
Bangiales sp. BOLD:AAO5901,species
Bangiales sp. BOLD:AAO6795,species
Bangiales sp. BOLD:AAO8573,species
Bangiales sp. BOLD:AAO8606,species
Bangiales sp. BOLD:AAP0050,species
Bangiales sp. BOLD:AAO5040,species
Bangiales sp. BOLD:AAO5559,species
Bangiales sp. BOLD:AAO5719,species
Bangiales sp. BOLD:AAO6262,species
Bangiales sp.,species
Bangiales sp. DGao-2022a,species
unclassified Bangiophyceae,no rank
Cyanidiales,order
Cyanidiaceae,family
Cyanidium,genus
Cyanidium caldarium,species
unclassified Cyanidium,no rank
Cyanidium sp. 3-8 CR,species
Cyanidium sp. 511,species
Cyanidium sp. Monte Rotaro,species
Cyanidium sp. Sybil cave,species
Cyanidium sp. MonteRotaro 19,species
Cyanidium sp. MonteRotaro 20,species
Cyanidium sp. Atacama,species
Cyanidium sp.,species
Cyanidium sp. THAL103,species
Cyanidioschyzon,genus
Cyanidioschyzon merolae,species
Cyanidioschyzon merolae strain 10D,strain
Cyanidioschyzon merolae strain DBV201,strain
environmental samples,no rank
uncultured Cyanidioschyzon sp.,species
unclassified Cyanidioschyzon,no rank
Cyanidioschyzon sp. CCMEE 5610,species
Cyanidioschyzon sp. 5508,species
Cyanidioschyzon sp. Y16,species
Cyanidioschyzon sp. 5578,species
environmental samples,no rank
uncultured Cyanidium sp.,species
unclassified Cyanidiaceae,no rank
Cyanidiaceae sp. MX-AZ01,species
Cyanidiaceae sp. ACUF 421,species
Cyanidiaceae sp. ACUF 627,species
Cyanidiaceae sp.,species
Cyanidiococcus,genus
Cyanidiococcus yangmingshanensis,species
environmental samples,no rank
uncultured Cyanidiales,species
uncultured Galdieria sp.,species
uncultured Cyanidiaceae,species
unclassified Cyanidiales,no rank
Cyanidiales sp. CCMEE 5506,species
Cyanidiales sp. CCMEE 5507,species
Cyanidiales sp. CCMEE 5508,species
Cyanidiales sp. CCMEE 5562,species
Cyanidiales sp. CCMEE 5564,species
Cyanidiales sp. CCMEE 5566,species
Cyanidiales sp. CCMEE 5570,species
Cyanidiales sp. CCMEE 5576,species
Cyanidiales sp. CCMEE 5578,species
